日期,周次,当天重点,计划分钟,实际分钟,起始BPM,结束BPM,连续3遍通过,疼痛或发麻,录像文件,一句复盘
2026-07-20,1,坐姿手型与找C,35,,,,否,否,,
2026-07-21,1,右手C位五指与数拍,35,,,,否,否,,
2026-07-22,1,四分音符二分音符节奏,35,,,,否,否,,
2026-07-23,1,60BPM五指练习,35,60,,,否,否,,
2026-07-24,1,第一周录像验收,35,60,,,否,否,,
2026-07-27,2,高音谱表认音,35,,,,否,否,,
2026-07-28,2,欢乐颂右手前4小节,35,,,,否,否,,
2026-07-29,2,欢乐颂右手后4小节,35,,,,否,否,,
2026-07-30,2,连接8小节与修错,35,50,,,否,否,,
2026-07-31,2,第二周录像验收,35,60,,,否,否,,
2026-08-03,3,低音谱表与左手C,35,,,,否,否,,
2026-08-04,3,左手G与F,35,,,,否,否,,
2026-08-05,3,C和弦与G和弦,35,,,,否,否,,
2026-08-06,3,F和弦与三和弦切换,35,50,,,否,否,,
2026-08-07,3,第三周录像验收,35,60,,,否,否,,
2026-08-10,4,欢乐颂前半分手,35,,,,否,否,,
2026-08-11,4,欢乐颂前半合手,35,45,,,否,否,,
2026-08-12,4,欢乐颂后半分手,35,,,,否,否,,
2026-08-13,4,连接全曲与难点循环,35,50,,,否,否,,
2026-08-14,4,第四周录像与请人纠姿,35,60,,,否,否,,
2026-08-17,5,C大调音阶右手,35,50,,,否,否,,
2026-08-18,5,C大调音阶左手,35,50,,,否,否,,
2026-08-19,5,连奏与断奏,35,,,,否,否,,
2026-08-20,5,强弱与4小节视奏,35,,,,否,否,,
2026-08-21,5,第五周录像验收,35,60,,,否,否,,
2026-08-24,6,C与G和弦切换,35,50,,,否,否,,
2026-08-25,6,Am与F和弦切换,35,50,,,否,否,,
2026-08-26,6,四和弦完整循环,35,50,,,否,否,,
2026-08-27,6,喜欢的歌右手4至8小节,35,,,,否,否,,
2026-08-28,6,第六周录像验收,35,60,,,否,否,,
2026-08-31,7,选曲右手旋律巩固,35,,,,否,否,,
2026-09-01,7,左手块状和弦,35,45,,,否,否,,
2026-09-02,7,前4小节合手,35,45,,,否,否,,
2026-09-03,7,连接8小节与修错,35,50,,,否,否,,
2026-09-04,7,第七周录像验收,35,60,,,否,否,,
2026-09-07,8,两首曲子慢速查错,35,50,,,否,否,,
2026-09-08,8,修最差的两个片段,35,50,,,否,否,,
2026-09-09,8,加入强弱与句子感,35,60,,,否,否,,
2026-09-10,8,模拟一镜到底演奏,35,60,,,否,否,,
2026-09-11,8,最终录像与8周复盘,35,60,,,否,否,,
